,c1_rank,c2_rank,c3_rank,c4_rank,c5_rank,c1_suit,c2_suit,c3_suit,c4_suit,c5_suit,class,s_pos,s_rank,s_suit,s_class,outcome
17970,5,5,7,6,4,2,3,3,3,4,8,5,2,3,8,1
17971,12,12,10,7,6,2,3,4,4,1,8,4,13,4,9,1
17972,14,12,8,4,2,2,4,3,1,2,9,4,7,2,9,0
17973,13,10,9,8,3,1,2,3,1,1,9,4,4,3,9,1
17974,14,11,7,5,4,3,4,1,1,2,9,2,4,4,8,0
17975,14,12,11,3,2,1,3,1,3,1,9,5,2,3,8,0
17976,13,8,7,6,2,3,3,3,2,2,9,4,8,1,8,0
17977,12,12,14,4,3,4,3,3,2,3,8,3,13,2,8,0
17978,14,12,6,5,2,4,2,4,2,1,9,5,5,1,8,0
17979,12,11,10,9,6,1,3,1,3,1,9,1,10,4,8,0
17980,12,12,9,8,6,3,2,2,3,3,8,3,4,2,8,1
17981,5,5,14,13,9,2,3,3,2,1,8,3,3,4,8,1
17982,9,8,4,3,2,3,4,3,1,1,9,4,14,2,9,0
17983,12,12,10,7,6,1,4,2,2,4,8,4,3,3,9,1
17984,7,7,13,11,8,2,1,1,3,3,8,5,4,4,8,1
17985,10,10,13,12,5,2,1,4,4,2,8,4,5,1,8,1
17986,12,12,8,5,3,1,2,1,4,4,8,3,13,2,8,0
17987,14,14,11,3,2,4,1,1,3,2,8,4,7,4,9,1
17988,13,13,10,9,6,4,1,2,1,3,8,4,12,4,9,1
17989,10,9,8,7,2,3,3,1,4,1,9,2,11,1,9,0
17990,14,14,8,8,6,2,1,3,4,1,7,5,9,2,8,1
17991,14,13,12,6,2,3,3,3,4,3,9,1,3,4,9,0
17992,13,11,10,8,4,1,1,2,1,2,9,2,3,1,9,1
17993,13,11,8,7,2,4,3,2,4,4,9,1,8,4,8,0
17994,5,4,3,2,14,3,3,2,2,2,5,0,13,3,5,0
17995,10,10,12,9,6,1,4,4,1,3,8,5,10,3,6,0
17996,2,2,9,8,7,4,3,3,3,2,8,4,4,4,8,1
17997,14,14,5,5,13,3,1,3,2,3,7,5,11,2,8,1
17998,12,12,14,13,7,2,1,4,2,3,8,5,10,3,8,1
17999,12,9,8,7,3,3,4,1,1,2,9,2,2,2,9,1
18000,10,10,7,6,2,3,2,3,3,1,8,3,3,2,9,1
18001,14,9,8,5,2,2,2,3,2,3,9,5,12,1,9,1
18002,8,8,13,11,3,2,1,1,2,3,8,5,5,1,8,1
18003,12,11,10,3,2,4,4,1,4,2,9,3,10,4,8,0
18004,13,12,11,7,5,3,3,2,2,4,9,5,10,4,9,0
18005,13,9,8,6,5,4,2,2,3,3,9,3,4,4,9,1
18006,13,11,10,8,5,2,1,3,4,2,9,1,6,1,9,1
18007,11,9,6,4,2,4,1,4,3,1,9,4,11,3,8,0
18008,8,6,5,3,2,2,2,1,4,2,9,2,5,3,9,0
18009,8,8,14,12,9,1,4,4,2,1,8,5,13,2,9,1
18010,4,4,12,11,7,3,4,3,3,2,8,3,2,1,9,1
18011,14,13,11,6,2,1,3,1,3,3,9,3,3,1,9,1
18012,13,10,5,4,2,3,1,4,4,4,9,5,11,3,9,0
18013,8,8,13,7,4,3,1,2,4,3,8,3,9,3,8,1
18014,3,3,12,11,7,2,3,2,2,2,8,5,6,2,8,1
18015,10,9,8,4,2,2,2,4,1,3,9,3,14,1,9,0
18016,14,12,11,8,3,2,3,1,1,2,9,1,9,1,9,1
18017,14,11,7,6,4,4,3,4,4,1,9,2,13,4,9,0
18018,12,12,11,5,3,1,2,4,1,3,8,3,4,2,9,1
18019,7,7,12,10,9,3,2,4,1,4,8,3,2,2,8,1
18020,4,4,12,11,3,3,4,3,1,2,8,4,14,3,8,0
18021,9,8,6,4,2,4,3,2,2,4,9,5,12,2,9,0
18022,11,8,7,5,4,4,4,3,3,1,9,4,11,3,9,0
18023,11,8,6,5,2,2,2,4,1,2,9,2,3,3,9,1
18024,14,14,7,3,2,3,4,2,1,1,8,5,13,2,8,0
18025,12,12,11,11,5,1,4,2,1,2,7,5,14,2,8,1
18026,13,13,9,9,11,3,4,2,4,4,7,5,2,3,8,1
18027,8,8,12,6,3,1,3,3,1,2,8,4,7,1,8,0
18028,14,8,7,6,2,1,1,4,1,3,9,5,4,4,9,1
18029,13,13,12,3,2,4,2,4,4,2,8,4,12,2,8,1
18030,11,11,13,6,5,4,2,1,2,3,8,4,12,3,9,1
18031,12,7,5,4,3,1,2,1,3,2,9,5,13,3,9,0
18032,14,13,11,6,4,4,2,4,4,1,9,2,6,3,9,0
18033,9,9,9,6,4,4,3,1,1,2,6,4,14,1,8,1
18034,10,8,5,3,2,2,1,3,4,2,9,2,12,2,9,0
18035,10,10,11,5,3,4,1,1,4,1,8,3,12,1,8,0
18036,2,2,11,9,8,2,1,2,3,2,8,5,8,1,8,0
18037,13,10,7,4,2,2,4,4,1,4,9,3,3,4,9,1
18038,14,9,8,4,3,1,2,3,4,3,9,3,9,4,8,0
18039,5,5,12,11,6,3,2,3,1,4,8,3,11,4,7,0
18040,4,4,10,9,8,2,4,3,4,2,8,4,6,4,9,1
18041,12,7,6,4,3,1,2,2,1,1,9,3,9,2,9,1
18042,14,11,10,7,3,4,3,2,3,2,9,5,6,3,9,0
18043,8,8,14,12,3,4,3,3,2,4,8,5,9,3,8,1
18044,11,11,8,6,3,3,4,3,1,4,8,3,8,4,8,1
18045,14,14,12,8,2,2,3,2,1,2,8,3,9,4,8,1
18046,10,9,7,6,2,3,2,3,3,4,9,3,13,2,9,0
18047,11,9,6,3,2,1,3,4,2,3,9,4,9,1,8,0
18048,10,10,14,11,6,4,3,1,4,1,8,4,12,1,9,1
18049,7,7,13,12,3,1,2,4,4,4,8,4,11,2,8,1
18050,8,8,5,5,4,2,1,2,1,2,7,5,6,4,8,1
18051,13,12,10,4,3,3,3,1,3,3,9,1,9,1,9,0
18052,2,2,8,7,5,2,3,3,3,2,8,3,8,4,8,0
18053,11,10,9,8,2,1,1,3,2,1,9,5,12,2,9,0
18054,11,8,6,5,4,2,1,2,1,4,9,4,11,4,8,0
18055,13,12,10,6,4,3,4,4,1,3,9,2,14,3,9,0
18056,8,7,6,5,3,2,4,4,4,2,9,5,12,1,9,0
18057,13,12,9,8,2,4,2,4,3,4,9,5,12,3,8,0
18058,14,10,4,3,2,1,3,4,1,3,9,5,5,2,9,1
18059,10,10,9,9,6,1,4,3,1,3,7,5,9,2,3,0
18060,12,12,8,6,5,4,3,3,2,2,8,3,12,1,8,0
18061,13,12,11,8,3,2,2,2,1,2,9,2,2,4,9,1
18062,14,11,8,4,2,1,4,4,2,3,9,5,4,3,9,0
18063,3,3,14,11,10,4,3,4,1,4,8,5,6,1,8,1
18064,10,10,12,9,8,4,2,2,4,3,8,4,7,1,8,1
18065,14,12,11,6,2,1,4,3,2,4,9,5,5,2,9,1
18066,11,11,6,3,2,2,1,1,2,2,8,5,6,3,8,0
18067,8,8,14,10,4,4,2,3,1,4,8,5,2,1,8,1
18068,14,13,12,7,3,2,3,3,4,3,9,3,7,1,8,0
18069,12,10,9,5,3,1,3,2,4,1,9,4,4,3,9,1
18070,11,11,11,8,5,3,4,1,4,2,6,5,12,4,6,0
18071,8,7,5,4,2,2,2,3,2,3,9,1,8,1,8,0
18072,11,11,14,12,3,3,4,3,4,4,8,3,10,4,8,1
18073,14,10,9,7,2,1,3,4,3,1,9,2,8,4,9,0
18074,3,3,10,9,5,2,3,1,1,1,8,4,11,2,9,1
18075,13,9,8,5,4,4,2,1,4,2,9,5,14,4,9,0
18076,12,9,7,6,4,4,4,1,1,1,9,2,3,2,9,1
18077,11,10,7,5,2,4,4,2,1,3,9,5,3,4,9,1
18078,12,10,8,5,2,3,2,3,2,2,9,1,4,3,9,1
18079,12,12,14,6,5,1,2,2,2,3,8,3,9,1,8,0
18080,12,11,9,8,2,1,2,3,2,4,9,5,8,1,8,0
18081,2,2,9,4,3,1,3,2,2,1,8,3,5,3,8,1
18082,13,10,7,5,3,3,3,4,4,2,9,5,8,4,9,1
18083,6,6,14,9,4,2,1,2,1,3,8,3,3,4,9,1
18084,3,3,13,10,9,1,2,3,4,4,8,5,2,3,8,1
18085,10,10,4,4,7,2,1,3,2,1,7,5,6,1,8,1
18086,14,12,11,9,6,4,2,2,2,3,9,5,2,1,9,1
18087,13,8,7,6,4,4,3,3,2,1,9,4,8,2,8,0
18088,14,14,13,11,9,1,3,2,4,2,8,4,10,1,9,1
18089,14,10,7,3,2,4,2,4,4,1,9,1,4,1,9,0
18090,13,8,6,5,2,3,1,1,4,3,9,1,14,2,9,0
18091,8,8,12,11,9,4,3,1,1,3,8,4,5,3,8,1
18092,8,8,6,5,3,3,2,3,2,2,8,4,9,2,9,1
18093,11,10,5,4,2,4,4,4,4,2,9,5,5,1,8,0
18094,7,7,7,4,2,3,2,1,1,1,6,5,13,1,6,0
18095,14,14,3,3,6,4,1,3,1,4,7,5,4,2,7,1
18096,5,5,10,9,8,2,1,2,3,3,8,3,4,3,8,1
18097,7,7,10,4,2,3,1,4,2,1,8,5,12,2,9,1
18098,12,12,11,8,3,4,3,1,4,4,8,3,13,3,9,1
18099,14,11,10,9,6,4,3,1,2,2,9,5,13,2,9,0
18100,13,12,7,6,2,3,2,1,4,4,9,5,11,3,9,1
18101,14,11,9,5,2,1,2,4,3,2,9,3,11,4,8,0
18102,5,5,10,9,8,2,1,1,3,4,8,2,8,1,8,0
18103,13,12,8,7,4,2,3,3,3,3,9,3,9,1,9,1
18104,14,14,13,13,8,3,2,2,3,4,7,5,3,3,8,1
18105,6,6,12,10,5,3,2,3,1,1,8,5,6,4,6,0
18106,10,10,2,2,7,2,4,2,3,4,7,5,9,1,8,1
18107,12,12,7,5,2,4,1,3,3,4,8,5,14,1,8,0
18108,11,11,12,8,6,3,2,4,3,1,8,3,7,4,8,1
18109,12,12,9,4,2,2,1,2,2,3,8,4,2,1,8,1
18110,13,10,6,5,4,2,4,4,4,3,9,5,7,3,9,0
18111,13,10,7,6,5,3,2,2,3,2,9,5,14,3,9,0
18112,14,9,4,3,2,2,3,1,1,2,9,5,4,3,9,0
18113,14,14,12,9,6,1,4,2,2,3,8,3,5,2,8,1
18114,11,10,9,3,2,3,3,4,2,3,9,4,13,4,9,0
18115,13,11,7,6,5,2,4,1,4,1,9,1,5,4,8,0
18116,2,2,13,11,3,2,4,3,3,4,8,5,4,1,8,1
18117,13,11,10,7,2,2,2,1,4,1,9,2,13,4,9,0
18118,14,14,12,10,5,4,3,3,3,3,8,5,7,3,9,1
18119,8,8,6,5,4,2,3,1,2,2,8,4,3,1,8,1
18120,3,3,10,9,8,2,4,4,3,1,8,4,4,4,8,1
18121,10,8,7,3,2,3,4,2,1,1,9,4,7,1,8,0
18122,13,7,6,5,2,4,3,2,3,2,9,2,3,3,9,1
18123,13,13,14,12,9,1,2,3,1,2,8,5,11,3,9,1
18124,14,14,13,10,2,1,4,1,4,4,8,2,9,3,8,1
18125,13,11,10,4,2,3,4,3,3,1,9,5,5,1,9,1
18126,8,8,13,7,5,2,1,4,2,2,8,5,4,1,8,1
18127,5,5,3,3,12,4,3,1,2,3,7,5,3,4,6,0
18128,14,10,7,6,4,1,3,3,1,4,9,5,7,2,8,0
18129,6,6,10,5,3,4,2,4,1,4,8,4,13,4,8,0
18130,2,2,14,8,5,2,4,2,1,4,8,3,13,3,9,1
18131,11,11,8,4,3,3,2,4,3,3,8,4,11,1,6,0
18132,12,11,9,6,4,4,4,1,3,3,9,5,14,2,9,0
18133,10,10,14,9,8,1,2,4,3,2,8,5,13,2,9,1
18134,14,12,10,7,5,1,2,4,2,3,9,1,12,1,8,0
18135,13,10,9,3,2,1,3,2,3,2,9,2,4,4,9,0
18136,14,12,9,4,3,1,2,4,3,3,9,5,11,1,9,1
18137,7,7,13,5,4,3,2,1,2,2,8,5,8,3,8,0
18138,2,2,14,11,10,2,3,2,4,4,8,5,12,3,8,0
18139,9,7,6,5,2,3,1,3,3,1,9,3,3,4,9,1
18140,14,14,7,5,3,1,2,3,3,1,8,2,5,1,7,0
18141,10,10,6,6,4,3,4,4,3,4,7,5,2,2,8,1
18142,12,12,13,8,4,1,3,4,4,3,8,4,7,2,9,1
18143,11,11,12,8,2,2,4,2,2,4,8,4,4,1,8,0
18144,10,10,12,8,4,1,4,4,3,2,8,5,11,4,8,0
18145,11,10,7,5,3,3,3,4,4,4,9,2,6,2,9,1
18146,9,9,13,7,2,1,4,4,1,3,8,3,14,4,8,0
18147,13,9,8,6,2,2,2,1,4,1,9,5,14,1,9,0
18148,11,9,8,7,3,3,1,2,3,4,9,5,3,1,8,0
18149,12,11,10,7,6,2,4,4,4,2,9,5,2,1,9,1
18150,13,12,9,6,4,1,1,2,4,1,9,5,4,3,8,0
18151,13,8,7,5,2,2,4,2,2,2,9,2,8,1,8,0
18152,11,11,9,8,3,1,4,2,1,2,8,3,4,2,8,1
18153,14,10,6,5,2,3,3,2,4,2,9,5,13,2,9,0
18154,9,9,7,3,2,4,1,1,3,3,8,4,12,3,9,1
18155,4,4,13,10,5,1,3,3,4,1,8,3,6,4,8,0
18156,3,3,11,9,7,2,3,1,3,3,8,4,10,3,8,0
18157,13,12,11,6,4,4,3,2,4,4,9,5,6,2,9,0
18158,14,13,12,11,5,4,2,1,3,4,9,4,12,2,9,0
18159,10,8,6,4,3,1,1,3,1,1,9,5,10,2,8,0
18160,5,5,12,8,6,1,4,2,1,2,8,4,2,3,9,1
18161,11,10,8,4,2,4,2,2,3,1,9,2,12,1,9,0
18162,7,7,3,3,10,1,4,2,4,4,7,5,14,3,8,1
18163,14,13,6,5,4,2,1,3,2,1,9,5,9,2,9,0
18164,13,11,10,7,6,3,3,4,1,4,9,4,3,1,9,1
18165,11,11,14,10,6,2,4,4,2,2,8,3,8,3,8,0
18166,12,9,8,5,2,1,1,2,4,3,9,4,7,4,9,1
18167,13,12,9,5,4,1,2,4,2,3,9,2,8,4,9,1
18168,14,10,9,6,2,4,3,2,3,1,9,1,14,1,9,0
18169,13,11,10,9,7,3,2,1,1,1,9,3,13,4,9,0
18170,12,11,6,5,4,1,3,1,2,2,9,2,10,4,9,0
18171,13,12,11,6,3,2,3,1,2,2,9,1,3,3,9,0
18172,14,10,9,4,3,2,3,4,1,2,9,5,14,1,9,0
18173,11,11,12,7,5,1,2,4,3,4,8,4,3,1,8,1
18174,8,8,7,6,4,4,1,4,3,4,8,3,13,1,8,0
18175,14,13,12,3,2,3,4,1,4,2,9,3,12,3,8,0
18176,8,8,7,6,5,3,4,4,2,3,8,4,10,4,9,1
18177,13,12,10,9,3,1,2,3,4,4,9,5,11,4,9,0
18178,5,5,13,12,11,1,4,3,4,3,8,5,11,2,8,0
18179,14,13,10,6,5,2,4,1,1,2,9,1,11,1,9,1
18180,11,11,14,13,10,3,4,4,3,2,8,2,6,4,8,1
18181,14,14,13,12,11,3,2,4,1,1,8,3,14,1,8,0
18182,13,10,6,5,4,2,1,1,2,2,9,5,13,1,8,0
18183,7,7,11,9,8,4,2,2,4,3,8,4,12,4,8,0
18184,14,12,11,9,8,3,1,3,2,4,9,3,10,4,9,0
18185,9,9,14,8,4,1,4,4,3,4,8,4,13,4,8,0
18186,7,7,8,6,4,1,2,1,4,1,8,3,5,4,5,0
18187,3,3,13,6,4,2,1,1,2,2,8,3,13,3,8,0
18188,13,9,6,3,2,4,2,3,1,4,9,3,8,1,9,0
18189,14,12,11,10,4,4,4,2,2,4,9,3,3,4,9,1
18190,12,12,11,10,7,3,2,4,3,3,8,4,13,1,9,1
18191,13,12,11,10,2,3,1,3,1,1,9,2,4,3,9,1
18192,13,12,9,8,3,2,3,1,3,4,9,4,6,2,9,0
18193,11,10,9,4,3,3,2,3,4,2,9,5,10,1,8,0
18194,13,12,10,7,6,1,1,4,1,1,9,5,3,3,9,1
18195,13,12,7,5,4,3,2,3,3,2,9,3,10,3,9,1
18196,13,10,7,4,2,1,2,2,4,4,9,4,14,1,9,0
18197,14,13,11,10,8,2,3,1,4,3,9,4,8,4,9,0
18198,3,3,14,5,2,1,4,4,4,2,8,4,12,2,8,0
18199,12,9,8,5,4,4,2,2,2,3,9,5,11,3,9,0
18200,14,6,5,3,2,1,2,2,2,3,9,3,3,1,8,0
18201,13,11,9,8,4,4,3,2,3,2,9,5,7,2,9,1
18202,14,14,13,10,5,2,3,3,4,4,8,3,7,3,9,1
18203,11,9,8,6,3,4,4,2,3,3,9,4,12,2,9,0
18204,13,7,6,4,2,2,2,4,4,1,9,1,3,2,9,1
18205,10,10,9,9,8,3,4,2,1,2,7,5,4,3,8,1
18206,14,14,6,6,3,2,1,3,1,4,7,5,6,2,6,0
18207,8,8,12,11,3,4,1,4,4,3,8,3,7,4,8,1
18208,3,3,14,13,4,3,4,3,4,3,8,5,10,2,8,1
18209,2,2,14,11,3,3,2,1,1,2,8,4,14,2,8,0
18210,7,7,11,8,6,3,2,4,3,3,8,3,5,1,8,1
18211,14,13,12,6,5,4,2,2,4,3,9,5,5,4,8,0
18212,6,6,13,9,5,1,3,3,2,3,8,5,7,2,8,1
18213,13,13,14,12,10,4,2,3,4,1,8,4,8,4,8,1
18214,10,7,4,3,2,4,3,3,3,1,9,4,9,3,9,0
18215,3,3,14,6,2,4,1,4,4,2,8,3,14,1,8,0
18216,14,11,10,4,3,1,3,4,2,2,9,1,6,2,9,1
18217,9,7,6,5,3,3,4,4,1,1,9,1,13,2,9,0
18218,12,10,8,5,2,4,1,3,3,3,9,4,11,2,9,0
18219,13,12,10,9,5,1,3,3,4,2,9,2,12,2,9,0
18220,10,7,5,3,2,1,1,3,3,1,9,3,8,2,9,0
18221,11,11,9,7,2,3,4,2,2,4,8,3,3,2,8,0
18222,13,12,9,6,2,1,4,3,1,3,9,2,10,4,9,0
18223,4,4,12,8,6,1,2,3,4,2,8,3,3,4,8,1
18224,6,6,10,8,2,1,2,3,2,1,8,5,9,4,9,1
18225,13,13,14,8,7,3,2,1,3,3,8,4,5,4,9,1
18226,10,10,12,8,2,1,2,1,1,3,8,3,3,3,8,1
18227,14,14,5,4,3,4,2,1,3,1,8,4,11,1,9,1
18228,2,2,14,7,4,4,3,4,1,2,8,5,7,3,7,0
18229,10,10,8,7,5,2,3,3,4,1,8,5,14,3,8,0
18230,14,10,8,5,2,2,4,1,3,2,9,5,14,1,8,0
18231,13,13,13,9,3,4,1,3,3,3,6,4,5,4,6,1
18232,11,11,14,7,3,1,4,4,4,1,8,3,2,1,8,1
18233,13,12,9,6,4,4,4,1,3,3,9,5,14,3,9,0
18234,10,10,12,9,4,1,2,3,2,2,8,3,5,4,8,0
18235,13,12,11,9,5,1,1,3,3,3,9,4,5,2,8,0
18236,7,7,9,8,4,2,4,1,2,3,8,5,5,2,9,1
18237,3,3,8,5,2,2,3,4,1,4,8,5,13,1,9,1
18238,13,12,10,6,3,2,3,1,1,4,9,4,11,4,9,0
18239,13,12,7,4,2,4,4,1,1,1,9,4,9,4,9,1
18240,12,11,10,9,3,3,2,2,2,2,9,5,2,2,9,1
18241,14,9,6,5,4,3,1,4,4,1,9,2,9,3,8,0
18242,11,8,5,4,2,3,3,3,2,4,9,2,6,1,9,0
18243,11,11,13,7,2,4,1,1,1,1,8,3,5,2,8,1
18244,6,6,14,8,7,1,3,2,4,3,8,1,13,4,9,1
18245,5,5,14,4,3,2,4,3,4,2,8,5,3,1,7,0
18246,10,10,13,9,3,1,3,3,2,3,8,5,4,1,9,1
18247,10,9,5,4,2,2,4,1,3,1,9,2,6,2,9,1
18248,14,12,9,3,2,3,4,2,2,1,9,3,6,2,9,1
18249,12,9,7,6,2,2,4,1,3,3,9,2,11,2,9,0
18250,12,11,9,8,2,1,4,3,4,2,9,2,6,4,9,1
18251,13,10,8,5,3,3,4,2,4,1,9,5,9,1,9,0
18252,12,12,14,11,8,1,3,1,4,4,8,4,3,3,9,1
18253,14,9,6,5,4,4,3,4,3,4,9,1,13,2,9,0
18254,10,10,7,7,12,1,4,2,4,4,7,5,8,2,8,1
18255,11,10,6,5,4,1,3,3,4,3,9,5,8,1,9,0
18256,9,9,11,7,2,4,3,1,4,2,8,5,5,3,9,1
18257,3,3,14,12,7,2,4,2,3,1,8,4,9,2,8,1
18258,13,13,5,3,2,1,2,2,1,1,8,3,8,1,8,0
18259,14,14,13,10,2,1,3,3,2,3,8,4,5,4,8,1
18260,12,12,12,13,10,3,1,2,3,2,6,5,7,1,8,1
18261,11,10,9,3,2,4,3,2,1,2,9,2,2,3,9,0
18262,7,7,14,12,4,3,2,1,4,2,8,5,3,2,8,1
18263,4,4,14,11,9,4,3,4,1,4,8,4,7,4,9,1
18264,7,7,4,4,3,3,1,2,1,1,7,5,9,3,8,1
18265,13,12,10,8,4,1,2,2,2,3,9,2,10,3,8,0
18266,14,13,10,5,3,3,3,4,3,3,9,3,8,3,9,1
18267,14,7,5,3,2,1,2,1,4,3,9,5,9,2,9,0
18268,14,8,7,5,3,1,3,2,2,3,9,1,8,4,8,0
18269,14,13,11,9,3,4,1,3,1,4,9,4,3,1,9,0
18270,4,4,4,11,9,4,3,1,2,3,6,4,8,2,6,1
18271,6,6,13,12,11,1,4,3,1,1,8,3,12,3,7,0
18272,10,9,8,6,5,2,2,4,1,4,9,3,2,1,9,1
18273,2,2,13,11,7,3,4,1,2,4,8,5,10,3,8,1
18274,13,10,9,8,7,3,4,1,1,1,9,4,6,2,9,1
18275,5,5,4,4,14,3,2,4,3,2,7,5,9,4,8,1
18276,14,13,8,5,3,4,3,3,2,3,9,2,14,2,8,0
18277,13,12,10,9,7,4,2,4,4,4,9,5,7,1,8,0
18278,11,10,8,4,2,1,2,1,2,2,9,5,5,1,9,1
18279,12,10,9,6,2,1,1,3,4,1,9,3,8,2,9,0
18280,12,10,8,6,2,3,4,4,4,2,9,2,7,1,9,0
18281,10,10,8,5,3,3,2,1,2,3,8,3,5,1,7,0
18282,3,3,14,12,6,1,2,3,4,3,8,5,4,2,8,1
18283,14,14,12,10,7,1,2,1,1,3,8,5,9,3,9,1
18284,13,8,4,3,2,1,2,1,3,1,9,5,9,1,9,1
18285,7,7,14,13,12,2,1,2,3,3,8,5,8,4,9,1
18286,12,11,9,6,4,4,1,2,1,3,9,2,8,1,9,1
18287,11,10,8,7,2,3,3,3,3,4,9,2,3,2,9,0
18288,4,4,8,6,5,3,1,2,2,1,8,5,9,3,8,0
18289,11,10,6,5,3,2,2,1,4,4,9,2,13,4,9,0
18290,2,2,9,5,3,2,3,4,3,2,8,3,5,2,8,0
18291,11,11,10,8,7,4,3,3,4,2,8,5,2,4,8,1
18292,10,7,5,3,2,2,1,4,3,1,9,2,13,3,9,0
18293,14,12,8,4,2,2,4,2,2,3,9,4,10,1,9,0
18294,6,6,11,9,7,3,2,3,2,3,8,5,8,3,8,1
18295,14,9,6,4,3,1,1,4,1,2,9,4,5,3,9,1
18296,13,12,8,7,4,2,1,4,4,4,9,3,4,3,8,0
18297,7,7,10,3,2,2,3,2,4,3,8,3,6,2,8,1
18298,13,12,10,9,2,1,3,1,1,1,9,5,7,1,9,1
18299,14,12,8,6,3,1,2,1,1,2,9,5,10,3,9,0
18300,13,9,7,4,3,4,2,1,1,4,9,1,3,3,8,0
18301,14,13,10,7,5,3,1,4,4,4,9,3,4,2,9,1
18302,14,13,11,7,5,1,2,1,3,3,9,5,8,2,9,0
18303,10,10,12,11,8,3,1,2,4,3,8,5,12,1,8,0
18304,13,13,12,9,7,4,3,1,3,3,8,2,12,2,7,0
18305,4,4,14,9,3,1,2,3,4,4,8,5,14,1,7,0
18306,3,3,9,8,6,3,2,2,4,2,8,4,2,2,8,1
18307,12,11,10,4,3,3,1,1,4,1,9,1,5,1,9,1
18308,10,9,8,4,2,2,2,4,2,4,9,3,4,3,8,0
18309,14,14,9,8,7,3,2,3,1,3,8,4,10,4,8,0
18310,11,10,4,3,2,3,3,4,2,2,9,4,7,4,9,0
18311,13,10,9,3,2,1,1,4,4,3,9,5,3,1,8,0
18312,5,5,11,9,6,3,2,2,3,2,8,5,13,4,9,1
18313,9,9,12,10,6,1,4,3,1,3,8,4,13,2,8,0
18314,3,3,2,2,8,3,4,2,3,1,7,5,2,1,7,0
18315,8,8,11,7,6,4,2,3,4,1,8,5,12,1,9,1
18316,14,14,6,6,8,2,4,3,2,1,7,5,3,1,8,1
18317,10,7,6,5,4,2,3,4,3,3,9,3,5,4,8,0
18318,12,10,9,6,2,2,4,4,1,3,9,1,7,4,9,1
18319,7,7,13,11,10,2,1,4,4,3,8,3,2,2,8,1
18320,7,7,6,5,2,1,2,4,3,2,8,4,8,1,8,0
18321,12,10,6,5,3,2,3,3,4,4,9,2,12,1,8,0
18322,13,10,9,5,4,1,4,3,1,1,9,5,14,2,9,0
18323,10,10,14,12,2,1,2,4,4,4,8,4,13,2,8,0
18324,14,13,8,6,2,1,1,4,3,4,9,2,11,3,9,0
18325,2,2,11,10,7,2,3,1,4,3,8,5,3,1,8,1
18326,10,9,7,5,4,3,2,4,3,4,9,4,10,1,9,0
18327,13,9,8,7,5,4,4,3,2,4,9,5,4,1,9,1
18328,7,7,9,4,3,4,1,3,2,4,8,3,6,4,9,1
18329,3,3,12,10,2,2,1,4,2,3,8,3,13,3,8,0
18330,13,11,8,5,2,4,1,2,2,2,9,5,9,2,9,0
18331,14,10,9,8,7,1,4,4,3,2,9,5,8,4,9,0
18332,12,9,8,6,3,3,2,2,4,1,9,4,10,3,9,0
18333,5,5,3,3,13,2,1,4,2,3,7,5,14,3,8,1
18334,14,9,7,4,2,2,1,1,4,3,9,3,13,1,9,0
18335,2,2,11,10,9,2,4,1,1,3,8,3,6,1,9,1
18336,13,12,9,8,4,2,1,3,4,1,9,4,11,4,9,0
18337,2,2,2,13,6,1,2,4,3,1,6,4,9,2,8,1
18338,3,3,13,5,4,4,1,1,4,2,8,4,7,2,8,0
18339,12,11,10,5,3,2,2,3,2,3,9,5,14,3,9,0
18340,14,11,7,6,3,3,1,3,2,3,9,2,3,1,8,0
18341,5,5,9,7,6,2,4,1,1,3,8,3,9,4,8,0
18342,3,3,12,11,6,2,4,2,4,1,8,4,5,3,8,1
18343,9,9,14,13,10,2,3,4,1,3,8,3,4,3,8,1
18344,12,11,7,6,2,3,3,4,4,2,9,1,8,4,9,1
18345,14,9,8,5,2,3,3,3,3,1,9,5,3,4,9,1
18346,11,11,4,4,8,4,2,2,4,2,7,5,5,4,8,1
18347,10,10,13,11,7,1,4,2,1,3,8,5,3,2,9,1
18348,8,8,6,6,14,4,3,3,4,2,7,5,9,1,7,1
18349,7,7,10,9,2,1,4,1,4,1,8,4,4,3,8,1
18350,12,12,13,6,4,3,2,4,1,4,8,4,2,2,9,1
18351,13,13,10,9,2,3,2,3,2,3,8,4,5,4,8,0
18352,12,12,13,3,2,2,3,3,4,4,8,5,14,2,8,0
18353,14,10,5,3,2,3,4,2,1,1,9,3,12,4,9,0
18354,13,10,7,5,3,4,2,1,4,3,9,1,6,4,9,0
18355,11,11,9,8,7,2,1,4,3,4,8,3,6,2,8,1
18356,11,11,12,8,6,3,2,4,2,3,8,3,5,3,8,1
18357,11,7,4,3,2,4,1,3,1,1,9,5,6,1,9,0
18358,14,10,8,7,4,1,2,4,4,4,9,4,3,3,9,1
18359,13,13,12,10,8,3,2,2,3,1,8,3,4,1,8,1
18360,14,14,7,6,2,1,4,4,2,3,8,3,4,2,9,1
18361,10,10,14,8,2,4,2,3,1,2,8,5,11,4,8,0
18362,13,12,9,8,5,1,2,3,3,3,9,3,13,3,8,0
18363,11,9,7,5,4,1,4,1,2,3,9,2,4,4,8,0
18364,13,13,8,8,9,4,1,3,1,1,7,5,12,4,8,1
18365,14,11,7,6,4,2,4,3,1,4,9,5,8,4,9,1
18366,2,2,7,6,5,1,3,1,3,2,8,5,9,4,8,0
